"PlanCode","PlanName","DevelopmentFactory","WaterRequired"
"唐榮鐵工廠股份有限公司","0951024001","唐榮鐵工廠股份有限公司新豐廠現有廠區轉型為高科技產業園區","7200"
"台塑","0951024002","南亞公司纖維廠區","9689"
"","0951024003","私立高旗工業家事職業學校遷校","566"
"台灣人纖開發股份有限公司","0951024004","彰化人纖專業工業區","25600"
"中美和石油化學股份有限公司","0951024005","彰濱工業區中美和石化廠","28525"
"台灣糖業股份有限公司","0951024006","事業廢棄物(含垃圾焚化灰渣)最終處置場緊急設置計畫中部廠址","948"
"南投縣政府","0951024007","南投縣埔里鎮虎山社區農村土地重劃開發計畫","345.5"
"鳳山寺","0951024008","鳳山寺擴建開發計畫","22.4"
"花蓮縣私立黎明教養院","0951024009","花蓮縣私立黎明教養院增設黎明家園計畫","992"
"台灣肥料股份有限公司","0951024010","花蓮縣鼓勵公民營機構興建營運垃圾焚化（資源回收）廠計畫","363"
"台灣糖業股份有限公司","0951024011","台南縣七股鄉三股工業區報編開發計畫","12000"
"台東縣政府","0951024012","池上綜合工業區","7000"
"嘉義縣政府","0951024013","嘉義大埔美智慧型工業區開發計畫","35000"
"經濟部工業局","0951024014","台南科技工業區","68000"
"","0951024015","台南科技工業區（修定本）","58000"
"桃園縣政府","0951025001","桃園科技工業區開發計畫用水計畫書","28000"
"行政院國家科學委員會科學工業管理局","0951101001","新竹科學工業園區用水修正本","175000"
"台中市政府","0951101002","台中市機械科技工業園區開發計畫","9100"
"行政院國家科學委員會科學工業管理局","0951101003","新竹科學工業園區三期（含一、二期）","131000"
"行政院國家科學委員會科學工業園區管理局","0951101004","新竹科學工業園區第四期擴建計劃(竹南基地)（第二版）","51000"
"內政部（營建署新生地開發局）","0951102001","漢本新生地開發計畫","280"
"得力實業股份有限公司","0951102002","得力實業申請辦理農業用地變更為工業用地案","3300"
"達裕開發股份有限公司","0951102003","和信龍潭科技工業園區用水計畫書","41800"
"行政院國家科學委員會台南科學工業園區開發籌備處","0951103002","台南科學工業園區路竹基地開發計畫","100000"
"行政院國家科學委員會科學工業管理局","0951103003","新竹科學工業園區第四期擴建用地(竹南基地)","19540"
"瓏美溫泉渡假山莊","0951107001","瓏美溫泉渡假山莊","102.8"
"賴文永","0951208001","萬方立花園別墅社區開發計畫","531.3"
"台灣糖業股份有限公司","0960117001","路竹智慧型工業園區報編開發可行性研究","74000"
"中部科學工業園區開發籌備處","0960119001","中部科學工業園區第三期發展區(后里園區-七星農場)開發計畫","76000"
"台灣糖業股份有限公司","0960130001","大新營工業區報編開發可行性研究","21400"
"高雄市政府工務局下水道工程處","0960208001","中區污水處理廠提昇二級處理海埔地開發案計畫工程","950"
"經濟部加工出口管理處","0960215001","屏東縣六塊厝農場設置加工出口區計畫","39975"
"台南縣政府","0960425001","南科液晶電視及產業支援工業區開發計畫","11000"
