案件代碼,分區,縣市,計畫名稱,開發單位,核定日期,終期計畫用水量(CMD)
1081118001,南區,高雄市,燁聯鋼鐵股份有限公司用水計畫,燁聯鋼鐵股份有限公司,108/11/14,7950
1081114001,北區,新竹縣,新竹縣國際AI智慧園區,新竹縣政府,108/11/11,661
1081111001,北區,新北市,南亞科技股份有限公司晶圓廠用水計畫,南亞科技股份有限公司,108/11/08,10403
1081108001,北區,桃園市,南亞塑膠工業股份有限公司錦興廠用水計畫,南亞塑膠工業股份有限公司,108/11/07,6700
1081023001,南區,台南市,佳和實業股份有限公司官田廠,佳和實業股份有限公司,108/10/21,7458
1081008001,北區,桃園市,南亞電路板股份有限公司錦興廠用水計畫,南亞電路板股份有限公司,108/10/07,12839
1081001001,中區,雲林縣,福懋興業股份有限公司第二廠,福懋興業股份有限公司,108/09/30,8281
1080923001,北區,新竹市,正隆股份有限公司新竹廠用水計畫,正隆股份有限公司,108/09/20,3309
1080920001,中區,台中市,大昌紙業股份有限公司用水計畫,大昌紙業股份有限公司,108/09/19,3882
1080917001,中區,彰化縣,上倫染整有限公司工廠,上倫染整有限公司,108/09/18,800
1080128001,南區,高雄市,台灣中油股份有限公司煉製事業部高雄煉油廠,台灣中油股份有限公司煉製事業部高雄煉油廠,108/09/12,11000
1080910001,南區,高雄市,東聯化學股份有限公司高雄林園廠,東聯化學股份有限公司高雄林園廠,108/09/09,6700
1080902001,中區,台中市,台中發電廠(含新建燃氣機組)計畫,台灣電力公司,108/08/29,18460
1080829003,東區,花蓮縣,亞洲水泥股份有限公司花蓮製造廠用水計畫,亞洲水泥股份有限公司,108/08/29,6000
1080829002,北區,桃園市,廣明實業股份有限公司用水計畫,廣明實業股份有限公司,108/08/29,4250
1080829001,北區,桃園市,三義化學工業股份有限公司桃園海湖廠用水計畫,三義化學工業股份有限公司,108/08/29,5888
1080823001,北區,桃園市,金車股份有限公司中壢廠,金車股份有限公司,108/08/23,7460
1080812001,中區,台中市,味丹企業股份有限公司第一、二、三、五工廠用水計畫,味丹企業股份有限公司,108/08/09,20114
1080809002,南區,高雄市,經濟部加工出口區楠梓園區用水計畫,經濟部加工出口區管理處,108/08/07,45000
